x_new1,y_new1,x_new2,y_new2,x_new3,y_new3,x_new4,y_new4,x_new5,y_new5,x_new6,y_new6,x_new7,y_new7,x_new8,y_new8
5.53624,2.080124564,5.91622,0.489706476,6.1008,-0.282858845,5.53624,2.080124564,5.53624,2.080124564,5.91261,0.504816243,5.61231,1.761731217,5.61231,1.761731217
5.54024,2.110808323,5.91982,0.956142464,6.1042,0.395266519,5.54024,2.110808323,5.54024,2.110808323,5.91622,0.967093507,5.61632,1.87937627,5.61632,1.87937627
5.54424,2.143316408,5.92342,1.435132075,6.10761,1.091125344,5.54424,2.143316408,5.54424,2.143316408,5.91982,1.441855699,5.62032,2.001223829,5.62032,2.001223829
5.54825,2.177686643,5.92703,1.9270105,6.11101,1.805252759,5.54825,2.177686643,5.54825,2.177686643,5.92342,1.929399593,5.62432,2.127343609,5.62432,2.127343609
5.55225,2.213473993,5.93063,2.432637784,6.11441,2.53908612,5.55225,2.213473993,5.55225,2.213473993,5.92703,2.430552606,5.62833,2.257540755,5.62833,2.257540755
5.55626,2.251458514,5.93423,2.95153264,6.11782,3.291577111,5.55626,2.251458514,5.55626,2.251458514,5.93063,2.944864738,5.63233,2.392354984,5.63233,2.392354984
5.56026,2.291000642,5.93784,3.484763806,6.12122,4.064541043,5.56026,2.291000642,5.56026,2.291000642,5.93423,3.473350371,5.63634,2.531536427,5.63634,2.531536427
5.56426,2.332726353,5.94144,4.032026074,6.12462,4.857302396,5.56426,2.332726353,5.56426,2.332726353,5.93784,4.015807083,5.64034,2.675487694,5.64034,2.675487694
5.56827,2.376696017,5.94505,4.593707287,6.12803,5.670379941,5.56827,2.376696017,5.56827,2.376696017,5.94144,4.572465686,5.64434,2.824299518,5.64434,2.824299518
5.57227,2.422438116,5.94865,5.17055616,6.13143,6.505114361,5.57227,2.422438116,5.57227,2.422438116,5.94505,5.144270956,5.64835,2.977932087,5.64835,2.977932087
5.57628,2.470775403,5.95225,5.762268839,6.13483,7.360696563,5.57628,2.470775403,5.57628,2.470775403,5.94865,5.730752025,5.65235,3.136743182,5.65235,3.136743182
5.58028,2.521051833,5.95586,6.369849627,6.13824,8.238808947,5.58028,2.521051833,5.58028,2.521051833,5.95225,6.33285575,5.65636,3.300690089,5.65636,3.300690089
5.58428,2.573950255,5.95946,6.992980572,6.14164,9.138774439,5.58428,2.573950255,5.58428,2.573950255,5.95586,6.950578234,5.66036,3.470052996,5.66036,3.470052996
5.58829,2.629527739,5.96306,7.632077167,6.14505,10.0613377,5.58829,2.629527739,5.58829,2.629527739,5.95946,7.584023219,5.66436,3.644934348,5.66436,3.644934348
5.59229,2.687231696,5.96667,8.288153602,6.14845,11.00767811,5.59229,2.687231696,5.59229,2.687231696,5.96306,8.234146102,5.66837,3.825428551,5.66837,3.825428551
5.5963,2.748084056,5.97027,8.960508514,6.15185,11.97693238,5.5963,2.748084056,5.5963,2.748084056,5.96667,8.900704979,5.67237,4.011765979,5.67237,4.011765979
5.6003,2.811279457,5.97387,9.650305721,6.15526,12.97105143,5.6003,2.811279457,5.6003,2.811279457,5.97027,9.584399747,5.67638,4.204092366,5.67638,4.204092366
5.6043,2.877513551,5.97748,10.35767862,6.15866,13.98932102,5.6043,2.877513551,5.6043,2.877513551,5.97387,10.28531838,5.68038,4.402490663,5.68038,4.402490663
5.60831,2.947010313,5.98108,11.08243949,6.16206,15.03219396,5.60831,2.947010313,5.60831,2.947010313,5.97748,11.00387216,5.68438,4.607181726,5.68438,4.607181726
5.61231,3.019126142,5.98468,11.82566425,6.16547,16.10134173,5.61231,3.019126142,5.61231,3.019126142,5.98108,11.74052437,5.68839,4.81841561,5.68839,4.81841561
5.61632,3.094806437,5.98829,12.58743916,6.16887,17.19582053,5.61632,3.094806437,5.61632,3.094806437,5.98468,12.49531237,5.69239,5.036104315,5.69239,5.036104315
5.62032,3.173417034,5.99189,13.36801034,6.17227,18.31701252,5.62032,3.173417034,5.62032,3.173417034,5.98829,13.26923881,5.6964,5.260788616,5.6964,5.260788616
5.62432,3.266103194,5.9955,14.16290389,6.17568,19.45248186,5.62432,3.266103194,5.62432,3.266103194,5.99189,14.05692445,5.7,5.487855112,5.7,5.487855112
5.62833,3.448175993,5.9991,14.93808221,6.17908,20.5155381,5.62833,3.448175993,5.62833,3.448175993,5.9955,14.82652069,5.7004,5.681575515,5.7004,5.681575515
5.63233,3.5395907,6.0027,15.77953596,6.18248,21.72088478,5.63233,3.5395907,5.63233,3.5395907,5.9991,15.66056358,5.7044,5.921351791,5.7044,5.921351791
5.63634,3.63473149,6.00631,16.6415378,6.18589,22.95492072,5.63634,3.63473149,5.63634,3.63473149,6.0027,16.51462326,5.70841,6.168451875,5.70841,6.168451875
5.64034,3.733944195,6.00991,17.52396189,6.18929,24.21729028,5.64034,3.733944195,5.64034,3.733944195,6.00631,17.38963263,5.71241,6.423141303,5.71241,6.423141303
5.64434,3.836852227,6.01351,18.42778328,6.19269,25.5096237,5.64434,3.836852227,5.64434,3.836852227,6.00991,18.28549829,5.71642,6.685714026,5.71642,6.685714026
5.64835,3.944428324,6.01712,19.35311414,6.1961,26.83161453,5.64835,3.944428324,5.64835,3.944428324,6.01351,19.2022739,5.72042,6.955801231,5.72042,6.955801231
5.65235,4.056210318,6.02072,20.30003284,6.1995,28.1836026,5.65235,4.056210318,5.65235,4.056210318,6.01712,20.14128549,5.72442,7.234244059,5.72442,7.234244059
5.65636,4.172314851,6.02432,21.26936064,6.2029,29.56697571,5.65636,4.172314851,5.65636,4.172314851,6.02072,21.10208875,5.72843,7.521005171,5.72843,7.521005171
5.66036,4.292984153,6.02793,22.26171162,6.20631,30.98185093,5.66036,4.292984153,5.66036,4.292984153,6.02432,22.08523611,5.73243,7.81613944,5.73243,7.81613944
5.66436,4.418234344,6.03153,23.27664531,6.20971,32.42824176,5.66436,4.418234344,5.66436,4.418234344,6.02793,23.09174383,5.73644,8.120373034,5.73644,8.120373034
5.66837,4.5487233,6.03514,24.31556979,6.21311,33.90715489,5.66837,4.5487233,5.66837,4.5487233,6.03153,24.12101103,5.74044,8.432892197,5.74044,8.432892197
5.67237,4.684254322,6.03874,25.37748303,6.21652,35.41881337,5.67237,4.684254322,5.67237,4.684254322,6.03514,25.17414863,5.74444,8.754896003,5.74444,8.754896003
5.67638,4.824753318,6.04234,26.4639871,6.21992,36.96430171,5.67638,4.824753318,5.67638,4.824753318,6.03874,26.25111892,5.74845,9.086256157,5.74845,9.086256157
5.68038,4.970465783,6.04595,27.57582382,6.22332,38.54366132,5.68038,4.970465783,5.68038,4.970465783,6.04234,27.35259614,5.75245,9.426980687,5.75245,9.426980687
5.68438,5.121658746,6.04955,28.71158649,6.22673,40.15738817,5.68438,5.121658746,5.68438,5.121658746,6.04595,28.47902703,5.75646,9.778016037,5.75646,9.778016037
5.68839,5.278954732,6.05315,29.87311402,6.23013,41.80609546,5.68839,5.278954732,5.68839,5.278954732,6.04955,29.63038189,5.76046,10.13831722,5.76046,10.13831722
5.69239,5.441573841,6.05676,31.06132297,6.23353,43.49045559,5.69239,5.441573841,5.69239,5.441573841,6.05315,30.80749501,5.76446,10.50899245,5.76446,10.50899245
5.6964,5.610512959,6.06036,32.27434818,6.23694,45.21065993,5.6964,5.610512959,5.6964,5.610512959,6.05676,32.01061094,5.76847,10.89038603,5.76847,10.89038603
5.7,5.745642876,6.06396,33.51756136,6.24034,46.97621336,5.7,5.745642876,5.7,5.745642876,6.06036,33.24286385,5.77247,11.27545641,5.77247,11.27545641
5.7004,5.560737238,6.06757,34.81015856,6.24374,48.84417702,5.7004,5.560737238,5.7004,5.560737238,6.06396,34.52257948,5.77648,11.62140661,5.77648,11.62140661
5.7044,5.73749326,6.07117,36.10278117,6.24715,50.6723571,5.7044,5.73749326,5.7044,5.73749326,6.06757,35.80473325,5.78048,12.03623935,5.78048,12.03623935
5.70841,5.920759672,6.07477,37.42376693,6.25055,52.5389504,5.70841,5.920759672,5.70841,5.920759672,6.07117,37.11420577,5.78448,12.46195894,5.78448,12.46195894
5.71241,6.109641126,6.07838,38.77396234,6.25395,54.44430384,5.71241,6.109641126,5.71241,6.109641126,6.07477,38.45175506,5.78849,12.90009269,5.78849,12.90009269
5.71642,6.306543032,6.08198,40.15105738,6.25736,56.38820292,5.71642,6.306543032,5.71642,6.306543032,6.07838,39.81775983,5.79249,13.34930539,5.79249,13.34930539
5.72042,6.509099855,6.08559,41.5589799,6.26076,58.37221069,5.72042,6.509099855,5.72042,6.509099855,6.08198,41.21248356,5.7965,13.81143815,5.7965,13.81143815
5.72442,6.719640334,6.08919,42.99498757,6.26416,60.39526037,5.72442,6.719640334,5.72442,6.719640334,6.08559,42.63697773,5.8005,14.28558166,5.8005,14.28558166
5.72843,6.937773426,6.09279,44.46083973,6.26757,62.46029503,5.72843,6.937773426,5.72843,6.937773426,6.08919,44.09009915,5.8045,14.77172791,5.8045,14.77172791
5.73243,7.162235726,6.0964,45.95842988,6.27097,64.56614923,5.73243,7.162235726,5.73243,7.162235726,6.09279,45.57363371,5.80851,15.271735,5.80851,15.271735
5.73644,7.395723188,6.1,47.4850948,6.27437,66.71268784,5.73644,7.395723188,5.73644,7.395723188,6.0964,47.08812666,5.81251,15.78388057,5.81251,15.78388057
5.74044,7.636147745,6.1036,49.04296013,6.27778,68.9026324,5.74044,7.636147745,5.74044,7.636147745,6.1,48.63249498,5.81652,16.31064462,5.81652,16.31064462
5.74444,7.884697841,6.10721,50.6340135,6.28118,71.13487753,5.74444,7.884697841,5.74444,7.884697841,6.1036,50.20860613,5.82052,16.85006966,5.82052,16.85006966
5.74845,8.142524029,6.11081,52.25512981,6.28458,73.40936181,5.74845,8.142524029,5.74845,8.142524029,6.10721,51.81687674,5.82452,17.40305478,5.82452,17.40305478
5.75245,8.407821896,6.11441,53.90864399,6.28799,75.72882495,5.75245,8.407821896,5.75245,8.407821896,6.11081,53.45609962,5.82853,17.97159288,5.82853,17.97159288
5.75646,8.682275337,6.11802,55.59666521,6.29139,78.09237206,5.75646,8.682275337,5.75646,8.682275337,6.11441,55.12824794,5.83253,18.55277439,5.83253,18.55277439
5.76046,8.965342961,6.12162,57.31580953,6.29479,80.49902555,5.76046,8.965342961,5.76046,8.965342961,6.11802,56.83385782,5.83654,19.1505891,5.83654,19.1505891
5.76446,9.257500278,6.12523,59.0701834,6.2982,82.95271188,5.76446,9.257500278,5.76446,9.257500278,6.12162,58.571739,5.84054,19.76211245,5.84054,19.76211245
